obj_loss,norm_all,norm,gamma1,gamma2,e_break
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
165.175401,0.010874,2.903304,2.743009,2.672047,326.914546
152.394339,0.010857,2.927185,2.893029,2.566098,326.222194
173.279989,0.010868,2.957135,2.700564,2.604484,342.589816
163.131068,0.010858,2.914004,2.824111,2.606884,326.635485
166.179164,0.010801,2.939801,2.799105,2.650115,323.715675
163.131068,0.010858,2.914004,2.824111,2.606884,326.635485
162.128438,0.010877,3.027475,2.779153,2.562271,327.405742
172.635501,0.010857,2.890784,2.790275,2.573101,337.770406
168.657392,0.010859,2.861400,2.816996,2.606266,339.222343
155.868410,0.010881,3.001999,2.835078,2.555562,325.364536
174.417128,0.010855,2.877558,2.852833,2.599248,320.158056
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
173.756258,0.010853,2.826471,2.758028,2.647219,343.069795
165.175401,0.010874,2.903304,2.743009,2.672047,326.914546
166.179164,0.010801,2.939801,2.799105,2.650115,323.715675
168.657392,0.010859,2.861400,2.816996,2.606266,339.222343
157.239179,0.010860,2.897897,2.834319,2.562791,338.748047
160.662748,0.010860,2.941949,2.872525,2.574877,324.623561
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
165.351001,0.010898,3.070732,2.845044,2.688066,296.584896
159.803723,0.010882,2.921333,2.729638,2.628791,335.308809
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
156.049282,0.010892,3.024471,2.822540,2.459615,330.863421
165.351001,0.010898,3.070732,2.845044,2.688066,296.584896
163.326834,0.010883,2.974930,2.880890,2.532303,311.250699
166.179164,0.010801,2.939801,2.799105,2.650115,323.715675
157.239179,0.010860,2.897897,2.834319,2.562791,338.748047
150.998545,0.010833,2.913976,2.805368,2.609751,335.840958
165.063334,0.010857,2.886809,2.810567,2.600200,334.040314
161.699468,0.010875,2.869028,2.746456,2.614352,345.463125
168.657392,0.010859,2.861400,2.816996,2.606266,339.222343
157.239179,0.010860,2.897897,2.834319,2.562791,338.748047
172.635501,0.010857,2.890784,2.790275,2.573101,337.770406
155.868410,0.010881,3.001999,2.835078,2.555562,325.364536
159.803723,0.010882,2.921333,2.729638,2.628791,335.308809
166.669398,0.010831,2.853430,2.781978,2.658882,334.359849
156.049282,0.010892,3.024471,2.822540,2.459615,330.863421
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
160.430548,0.010836,3.047533,2.875427,2.528601,337.925270
160.662748,0.010860,2.941949,2.872525,2.574877,324.623561
169.387904,0.010852,2.858682,2.753516,2.616050,344.501871
164.118004,0.010873,2.954451,2.739020,2.551781,340.220469
160.603341,0.010894,3.045365,2.912177,2.375265,318.910044
169.387904,0.010852,2.858682,2.753516,2.616050,344.501871
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
169.387904,0.010852,2.858682,2.753516,2.616050,344.501871
166.179164,0.010801,2.939801,2.799105,2.650115,323.715675
163.078633,0.010825,2.922001,2.817724,2.593065,334.906386
159.803723,0.010882,2.921333,2.729638,2.628791,335.308809
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
162.128438,0.010877,3.027475,2.779153,2.562271,327.405742
165.063334,0.010857,2.886809,2.810567,2.600200,334.040314
156.049282,0.010892,3.024471,2.822540,2.459615,330.863421
152.021471,0.010853,2.880702,2.761773,2.592866,341.686656
171.250044,0.010836,2.929426,2.853139,2.616843,325.706436
171.624096,0.010819,2.906054,2.857932,2.533255,332.090863
177.076618,0.010871,2.833206,2.807918,2.606597,343.139662
160.430548,0.010836,3.047533,2.875427,2.528601,337.925270
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
161.078270,0.010890,2.902826,2.733971,2.622613,333.655911
172.635501,0.010857,2.890784,2.790275,2.573101,337.770406
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
169.922320,0.010883,2.895872,2.732791,2.627157,337.346418
173.756258,0.010853,2.826471,2.758028,2.647219,343.069795
171.624096,0.010819,2.906054,2.857932,2.533255,332.090863
152.394339,0.010857,2.927185,2.893029,2.566098,326.222194
163.131068,0.010858,2.914004,2.824111,2.606884,326.635485
161.699468,0.010875,2.869028,2.746456,2.614352,345.463125
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
172.635501,0.010857,2.890784,2.790275,2.573101,337.770406
166.179164,0.010801,2.939801,2.799105,2.650115,323.715675
153.542514,0.010883,3.014829,2.756558,2.417109,335.914545
169.922320,0.010883,2.895872,2.732791,2.627157,337.346418
157.239179,0.010860,2.897897,2.834319,2.562791,338.748047
173.756258,0.010853,2.826471,2.758028,2.647219,343.069795
150.998545,0.010833,2.913976,2.805368,2.609751,335.840958
165.175401,0.010874,2.903304,2.743009,2.672047,326.914546
163.131068,0.010858,2.914004,2.824111,2.606884,326.635485
152.394339,0.010857,2.927185,2.893029,2.566098,326.222194
163.326834,0.010883,2.974930,2.880890,2.532303,311.250699
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
169.922320,0.010883,2.895872,2.732791,2.627157,337.346418
168.657392,0.010859,2.861400,2.816996,2.606266,339.222343
164.118004,0.010873,2.954451,2.739020,2.551781,340.220469
171.250044,0.010836,2.929426,2.853139,2.616843,325.706436
160.662748,0.010860,2.941949,2.872525,2.574877,324.623561
161.078270,0.010890,2.902826,2.733971,2.622613,333.655911
162.128438,0.010877,3.027475,2.779153,2.562271,327.405742
160.662748,0.010860,2.941949,2.872525,2.574877,324.623561
169.802221,0.010836,2.929426,2.853139,2.616843,325.706436
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
152.021471,0.010853,2.880702,2.761773,2.592866,341.686656
152.394339,0.010857,2.927185,2.893029,2.566098,326.222194
148.810919,0.010893,2.960392,2.801923,2.530664,329.005655
161.699468,0.010875,2.869028,2.746456,2.614352,345.463125
160.662748,0.010860,2.941949,2.872525,2.574877,324.623561
169.802221,0.010836,2.929426,2.853139,2.616843,325.706436
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
165.063334,0.010857,2.886809,2.810567,2.600200,334.040314
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
165.175401,0.010874,2.903304,2.743009,2.672047,326.914546
177.076618,0.010871,2.833206,2.807918,2.606597,343.139662
161.078270,0.010890,2.902826,2.733971,2.622613,333.655911
165.063334,0.010857,2.886809,2.810567,2.600200,334.040314
169.100209,0.010860,2.930354,2.878657,2.592654,323.792311
162.128438,0.010877,3.027475,2.779153,2.562271,327.405742
153.542514,0.010883,3.014829,2.756558,2.417109,335.914545
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
152.021471,0.010853,2.880702,2.761773,2.592866,341.686656
156.256363,0.010854,2.960240,2.841084,2.588503,329.873430
149.502096,0.010832,2.914366,2.797967,2.628463,330.632983
157.239179,0.010860,2.897897,2.834319,2.562791,338.748047
160.430548,0.010836,3.047533,2.875427,2.528601,337.925270
161.699468,0.010875,2.869028,2.746456,2.614352,345.463125
166.669398,0.010831,2.853430,2.781978,2.658882,334.359849
156.200794,0.010857,2.923828,2.816721,2.623606,319.954798
159.803723,0.010882,2.921333,2.729638,2.628791,335.308809
169.922320,0.010883,2.895872,2.732791,2.627157,337.346418
160.430548,0.010836,3.047533,2.875427,2.528601,337.925270
